0000A712
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-25T11:49:13.470Z,33.5028333,-116.515,12.31,0.24,ml,13,129,0.05614,0.18,ci,ci37671320,2016-08-25T13:03:33.653Z,"16km ESE of Anza, CA",earthquake,0.55,0.79,0.17,5,reviewed,ci,ci
2016-08-25T11:42:35.000Z,63.5329,-149.5755,100,1.8,ml,,,,0.33,ak,ak13878626,2016-08-25T12:04:59.189Z,"34km WNW of Cantwell, Alaska",earthquake,0.4,0.6,,,automatic,ak,ak
2016-08-25T11:42:34.480Z,34.9303333,-118.8541667,0.93,1.28,ml,21,121,0.1229,0.14,ci,ci37671312,2016-08-25T13:03:48.056Z,"7km ESE of Grapevine, CA",earthquake,0.27,0.49,0.119,21,reviewed,ci,ci
2016-08-25T11:41:55.000Z,61.2755,-147.399,20,1.7,ml,,,,0.65,ak,ak13878624,2016-08-25T11:56:02.984Z,"58km WNW of Valdez, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-08-25T11:37:08.945Z,41.8866,-119.6263,7.3,1.4,ml,5,121.24,0.142,0.1487,nn,nn00557538,2016-08-25T16:20:42.614Z,"68km ESE of Lakeview, Oregon",earthquake,,6.8,0.48,3,reviewed,nn,nn
2016-08-25T11:28:20.790Z,38.8106651,-122.8223343,1.9,1.18,md,19,98,0.00564,0.02,nc,nc72684901,2016-08-25T11:29:55.130Z,"6km WNW of The Geysers, California",earthquake,0.26,0.35,0.07,6,automatic,nc,nc
2016-08-25T11:25:41.010Z,39.348,-123.284,4.82,1.4,md,6,265,0.1427,0.02,nc,nc72684896,2016-08-25T16:41:33.891Z,"9km SE of Willits, California",earthquake,0.75,2.32,0.161,5,reviewed,nc,nc
2016-08-25T11:25:39.000Z,19.1126,-64.7443,46,2.3,Md,5,309.6,0.70158424,0.18,pr,pr16238002,2016-08-25T12:09:32.601Z,"78km N of Road Town, British Virgin Islands",earthquake,5.2,11.2,0,4,reviewed,pr,pr
2016-08-25T11:24:18.600Z,19.1485,-64.6552,67,3.3,Md,10,288,0.72763538,0.37,pr,pr16238003,2016-08-25T12:21:13.995Z,"81km N of Road Town, British Virgin Islands",earthquake,7,10.5,0,6,reviewed,pr,pr
2016-08-25T11:16:15.000Z,58.2588,-154.1101,70,2,ml,,,,0.2,ak,ak13878610,2016-08-25T11:29:14.185Z,"80km N of Larsen Bay, Alaska",earthquake,0.7,1.2,,,automatic,ak,ak
2016-08-25T11:16:07.201Z,40.1385,-120.2177,11.9,0,ml,4,240.47,0.064,0.0649,nn,nn00557559,2016-08-25T17:27:33.900Z,"31km SE of Janesville, California",earthquake,,2.5,0.01,2,reviewed,nn,nn
2016-08-25T10:59:37.500Z,33.5868333,-118.3761667,2.38,1.85,ml,17,131,0.1431,0.22,ci,ci37671304,2016-08-25T16:20:17.539Z,"18km S of Rancho Palos Verdes, CA",earthquake,0.46,0.63,0.143,55,reviewed,ci,ci
2016-08-25T10:57:27.000Z,65.5326,-153.2939,5,1,ml,,,,0.88,ak,ak13878608,2016-08-25T11:11:28.997Z,"69km NW of Tanana, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-08-25T10:53:48.000Z,63.1584,-143.5725,5,1.6,ml,,,,0.76,ak,ak13878606,2016-08-25T11:02:42.332Z,"35km WSW of Tok, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-08-25T10:36:00.000Z,67.1912,-149.323,5,1.6,ml,,,,0.69,ak,ak13878603,2016-08-25T10:53:45.667Z,"37km E of Coldfoot, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-08-25T10:34:21.230Z,33.9198333,-116.7138333,9.69,0.65,ml,23,85,0.1106,0.16,ci,ci37671296,2016-08-25T13:03:51.998Z,"7km E of Cabazon, CA",earthquake,0.32,0.75,0.179,19,reviewed,ci,ci
2016-08-25T10:16:29.550Z,35.5795,-118.4605,9.24,1.69,ml,22,75,0.08383,0.11,ci,ci37671288,2016-08-25T13:07:49.400Z,"3km ESE of Bodfish, CA",earthquake,0.24,0.55,0.245,27,reviewed,ci,ci
2016-08-25T10:06:43.160Z,38.8364983,-122.7955017,1.61,0.48,md,7,117,0.01612,0.01,nc,nc72684856,2016-08-25T10:08:20.478Z,"6km WNW of Cobb, California",earthquake,0.39,0.86,0.08,2,automatic,nc,nc
2016-08-25T09:49:29.102Z,40.1327,-120.2203,11.6,0.5,ml,6,235.42,0.06,0.1308,nn,nn00557550,2016-08-25T17:15:01.328Z,"31km SE of Janesville, California",earthquake,,2.5,0.41,3,reviewed,nn,nn
2016-08-25T09:49:02.915Z,37.2285,-117.5859,2.6,0.5,ml,9,142.6,0.048,0.1806,nn,nn00557516,2016-08-25T15:58:42.952Z,"61km SSW of Goldfield, Nevada",earthquake,,2.9,0.27,6,reviewed,nn,nn
2016-08-25T09:27:21.820Z,33.4926667,-116.794,5.16,1.08,ml,41,44,0.08663,0.16,ci,ci37671280,2016-08-25T13:07:54.130Z,"9km NE of Aguanga, CA",earthquake,0.16,0.84,0.136,25,reviewed,ci,ci
2016-08-25T09:27:02.000Z,68.6066,-147.1599,5,1.3,ml,,,,0.71,ak,ak13878598,2016-08-25T09:32:37.296Z,"85km NW of Arctic Village, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-08-25T09:21:03.230Z,37.6295,-119.3991667,5.93,1.53,md,15,144,0.2539,0.26,nc,nc72684841,2016-08-25T16:28:02.652Z,"20km SE of Yosemite Valley, California",earthquake,0.85,10.1,0.378,15,reviewed,nc,nc
2016-08-25T09:18:49.070Z,33.4651667,-116.4446667,6.93,0.56,ml,24,91,0.0602,0.19,ci,ci37671272,2016-08-25T13:04:24.233Z,"24km ESE of Anza, CA",earthquake,0.3,1.19,0.146,18,reviewed,ci,ci
2016-08-25T08:57:38.000Z,64.338,-147.9844,0.5,0.9,ml,,,,0.63,ak,ak13878596,2016-08-25T17:10:17.852Z,"55km SSW of Badger, Alaska",earthquake,0.3,0.5,,,reviewed,ak,ak
2016-08-25T08:54:44.000Z,58.5566,-153.2918,60,1.8,ml,,,,0.11,ak,ak13878591,2016-08-25T09:05:26.307Z,"97km NNW of Kodiak Station, Alaska",earthquake,0.7,1,,,automatic,ak,ak
